name,opta_name,position,team,opponent,venue,clean_sheet_prob,predicted_fpl_points,goals,assists,shots,sot,passes,tackles,saves,yellows,avg_bps
Mohamed Salah,Mohamed Salah,MID,Liverpool,Nott'm Forest,Home,41%,7.63,0.64,0.32,3.54,1.59,27.91,0.61,0.0,0.06,15.181818181818182
Gabriel Słonina,G. Słonina,GK,Chelsea,Burnley,Away,45%,6.36,0.0,0.0,0.0,0.0,32.03,0.03,3.59,0.07,0.0
Bukayo Saka,B. Saka,MID,Arsenal,Spurs,Home,48%,6.33,0.44,0.28,3.17,1.3,29.23,1.06,0.0,0.09,13.818181818181818
Cody Gakpo,C. Gakpo,MID,Liverpool,Nott'm Forest,Home,41%,6.27,0.44,0.29,2.97,1.23,28.33,0.69,0.0,0.08,15.818181818181818
Robert Lynch Sánchez,Robert Sánchez,GK,Chelsea,Burnley,Away,45%,6.27,0.0,0.0,0.0,0.0,31.36,0.03,3.42,0.06,13.0
Kieran Morrison,K. Morrison,MID,Liverpool,Nott'm Forest,Home,41%,6.1,0.41,0.29,2.89,1.18,28.42,0.75,0.0,0.07,0.0
Viktor Gyökeres,V. Gyökeres,FWD,Arsenal,Spurs,Home,48%,6.04,0.67,0.13,3.23,1.45,14.13,0.34,0.0,0.08,13.0
Filip Jörgensen,F. Jörgensen,GK,Chelsea,Burnley,Away,45%,5.99,0.0,0.0,0.0,0.0,29.8,0.02,2.97,0.05,0.3636363636363636
Tommy Setford,T. Setford,GK,Arsenal,Spurs,Home,48%,5.91,0.0,0.0,0.0,0.0,32.41,0.02,2.62,0.05,0.0
Bryan Mbeumo,B. Mbeumo,MID,Man Utd,Everton,Home,38%,5.82,0.39,0.26,3.06,1.2,36.16,0.68,0.0,0.08,20.454545454545453
Erling Haaland,E. Haaland,FWD,Man City,Newcastle,Away,30%,5.76,0.64,0.1,2.95,1.37,11.81,0.31,0.0,0.08,40.36363636363637
Kepa Arrizabalaga Revuelta,Kepa Arrizabalaga,GK,Arsenal,Spurs,Home,48%,5.76,0.0,0.0,0.0,0.0,28.42,0.02,2.37,0.04,0.0
Remi Matthews,R. Matthews,GK,Crystal Palace,Wolves,Away,38%,5.75,0.0,0.0,0.0,0.0,25.69,0.02,3.13,0.06,0.0
Jeremie Frimpong,J. Frimpong,DEF,Liverpool,Nott'm Forest,Home,41%,5.73,0.16,0.2,1.3,0.49,27.86,1.14,0.0,0.08,2.636363636363636
Marco Bizot,M. Bizot,GK,Aston Villa,Leeds,Away,33%,5.72,0.0,0.0,0.0,0.0,33.84,0.03,3.48,0.07,2.0
Leandro Trossard,L. Trossard,MID,Arsenal,Spurs,Home,48%,5.72,0.38,0.22,2.72,1.1,27.22,0.86,0.0,0.07,12.454545454545457
James Wright,J. Wright,GK,Aston Villa,Leeds,Away,33%,5.66,0.0,0.0,0.0,0.0,32.06,0.03,3.38,0.06,0.0
Riccardo Calafiori,R. Calafiori,DEF,Arsenal,Spurs,Home,48%,5.65,0.14,0.13,1.32,0.44,35.0,1.78,0.0,0.12,19.363636363636363
David Raya Martín,David Raya,GK,Arsenal,Spurs,Home,48%,5.64,0.0,0.0,0.0,0.0,26.44,0.02,2.17,0.04,19.09090909090909
Dean Henderson,D. Henderson,GK,Crystal Palace,Wolves,Away,38%,5.6,0.0,0.0,0.0,0.0,26.56,0.03,2.9,0.06,17.454545454545453
Walter Benítez,W. Benítez,GK,Crystal Palace,Wolves,Away,38%,5.6,0.0,0.0,0.0,0.0,27.53,0.02,2.89,0.05,0.0
Illan Meslier,I. Meslier,GK,Leeds,Aston Villa,Home,29%,5.59,0.0,0.0,0.0,0.0,27.45,0.03,3.57,0.06,0.0
Emiliano Martínez Romero,E. Martínez,GK,Aston Villa,Leeds,Away,33%,5.59,0.0,0.0,0.0,0.0,35.81,0.03,3.26,0.06,14.363636363636363
Sam Proctor,S. Proctor,GK,Aston Villa,Leeds,Away,33%,5.57,0.0,0.0,0.0,0.0,33.94,0.03,3.25,0.07,0.0
Marcus Bettinelli,M. Bettinelli,GK,Man City,Newcastle,Away,30%,5.57,0.0,0.0,0.0,0.0,30.47,0.03,3.46,0.06,0.0
Conor Bradley,C. Bradley,DEF,Liverpool,Nott'm Forest,Home,41%,5.53,0.16,0.15,1.4,0.49,34.47,1.82,0.0,0.15,4.363636363636363
Cole Palmer,C. Palmer,MID,Chelsea,Burnley,Away,45%,5.52,0.38,0.18,2.97,1.18,30.95,0.65,0.0,0.08,3.272727272727273
Robin Roefs,R. Roefs,GK,Sunderland,Fulham,Away,25%,5.51,0.0,0.0,0.0,0.0,33.5,0.03,3.74,0.06,20.181818181818183
Alex Cairns,A. Cairns,GK,Leeds,Aston Villa,Home,29%,5.51,0.0,0.0,0.01,0.0,33.91,0.04,3.45,0.07,0.0
Alexander Isak,A. Isak,FWD,Liverpool,Nott'm Forest,Home,41%,5.51,0.55,0.15,2.71,1.21,15.56,0.4,0.0,0.05,1.7272727272727273
Mikel Merino Zazón,Mikel Merino,MID,Arsenal,Spurs,Home,48%,5.5,0.39,0.16,2.51,1.02,25.31,1.16,0.0,0.14,7.272727272727272
Bernd Leno,B. Leno,GK,Fulham,Sunderland,Home,40%,5.49,0.0,0.0,0.0,0.0,27.63,0.02,2.55,0.05,13.545454545454543
